trend_id,week,combined_signal,lag_1,lag_2,lag_4,lag_8,roll_mean_4,roll_std_4,roll_mean_12,roll_mean_52,roll_std_52,novelty,is_ss,is_aw
color_butter_yellow,2020-08-04,0.0,,,,,,,,,,,1,0
color_butter_yellow,2020-08-11,0.0,0.0,,,,,,,,,,1,0
color_butter_yellow,2020-08-18,0.0,0.0,0.0,,,,,,,,,1,0
color_butter_yellow,2020-08-25,1.0,0.0,0.0,,,0.25,0.5,,,,,1,0
color_butter_yellow,2020-09-01,0.0,1.0,0.0,0.0,,0.25,0.5,,,,,0,1
color_butter_yellow,2020-09-08,0.0,0.0,1.0,0.0,,0.25,0.5,,,,,0,1
color_butter_yellow,2020-09-15,0.0,0.0,0.0,0.0,,0.25,0.5,,,,,0,1
color_butter_yellow,2020-09-22,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,0,1
color_butter_yellow,2020-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,1
color_butter_yellow,2020-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,1
color_butter_yellow,2020-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,1
color_butter_yellow,2020-10-20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08333333333333333,,,,0,1
color_butter_yellow,2020-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,,,,0,1
color_butter_yellow,2020-11-03,0.5,0.0,0.0,0.0,0.0,0.125,0.25,0.125,,,,0,1
color_butter_yellow,2020-11-10,0.5,0.5,0.0,0.0,0.0,0.25,0.28867513459481287,0.16666666666666666,,,,0,1
color_butter_yellow,2020-11-17,1.0,0.5,0.5,0.0,0.0,0.5,0.408248290463863,0.16666666666666666,,,,0,1
color_butter_yellow,2020-11-24,0.5,1.0,0.5,0.0,0.0,0.625,0.25,0.20833333333333334,,,,0,1
color_butter_yellow,2020-12-01,0.5,0.5,1.0,0.5,0.0,0.625,0.25,0.25,,,,0,1
color_butter_yellow,2020-12-08,1.0,0.5,0.5,0.5,0.0,0.75,0.28867513459481287,0.3333333333333333,,,,0,1
color_butter_yellow,2020-12-15,1.0,1.0,0.5,1.0,0.0,0.75,0.28867513459481287,0.4166666666666667,,,,0,1
color_butter_yellow,2020-12-22,0.5,1.0,1.0,0.5,0.0,0.75,0.28867513459481287,0.4583333333333333,,,,0,1
color_butter_yellow,2020-12-29,0.5,0.5,1.0,0.5,0.5,0.75,0.28867513459481287,0.5,,,,0,1
color_butter_yellow,2021-01-05,0.5,0.5,0.5,1.0,0.5,0.625,0.25,0.5416666666666666,,,,0,1
color_butter_yellow,2021-01-12,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.5833333333333334,,,,0,1
color_butter_yellow,2021-01-19,1.0,0.5,0.5,0.5,0.5,0.625,0.25,0.6666666666666666,,,,0,1
color_butter_yellow,2021-01-26,0.5,1.0,0.5,0.5,0.5,0.625,0.25,0.6666666666666666,,,,0,1
color_butter_yellow,2021-02-02,0.5,0.5,1.0,0.5,1.0,0.625,0.25,0.6666666666666666,,,,0,1
color_butter_yellow,2021-02-09,0.5,0.5,0.5,0.5,1.0,0.625,0.25,0.625,,,,0,1
color_butter_yellow,2021-02-16,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.625,,,,0,1
color_butter_yellow,2021-02-23,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.625,,,,0,1
color_butter_yellow,2021-03-02,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5833333333333334,,,,0,1
color_butter_yellow,2021-03-09,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5416666666666666,,,,1,0
color_butter_yellow,2021-03-16,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5416666666666666,,,,1,0
color_butter_yellow,2021-03-23,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5416666666666666,,,,1,0
color_butter_yellow,2021-03-30,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5416666666666666,,,,1,0
color_butter_yellow,2021-04-06,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5416666666666666,,,,1,0
